utc_datetime,impact,currency,event,actual,forecast,previous
2017-11-17T13:00:00Z,Medium Impact Expected,CAD,Trimmed CPI y/y,1.5%,,1.5%
2017-11-17T13:00:00Z,Low Impact Expected,CAD,Core CPI m/m,0.3%,,0.2%
2017-11-17T13:00:00Z,High Impact Expected,USD,Building Permits,1.30M,1.25M,1.23M
2017-11-17T13:00:00Z,Medium Impact Expected,USD,Housing Starts,1.29M,1.19M,1.14M
2017-11-17T15:00:00Z,Medium Impact Expected,USD,Mortgage Delinquencies,4.88%,,4.24%
2017-11-17T15:30:00Z,Low Impact Expected,AUD,CB Leading Index m/m,0.2%,,0.2%
2017-11-18T13:00:00Z,,,,,,
2017-11-18T13:00:00Z,,,,,,
2017-11-19T13:00:00Z,,,,,,
2017-11-19T21:30:00Z,Low Impact Expected,NZD,BusinessNZ Services Index,55.6,,55.9
2017-11-19T21:45:00Z,Low Impact Expected,NZD,FPI m/m,-1.1%,,-0.2%
2017-11-19T23:50:00Z,Low Impact Expected,JPY,Trade Balance,0.32T,0.21T,0.27T
2017-11-20T07:00:00Z,Low Impact Expected,EUR,German PPI m/m,0.3%,0.2%,0.3%
